"ID","RatioMut","SD","TotalReads","SampleCount","Status","Date"
"Insertion: 25700",NA,NA,NA,NA,"Confirmed Fastq","PreFSDB"
"Insertion: 25701",NA,NA,NA,NA,"Confirmed Fastq","PreFSDB"
"Insertion: 25702",NA,NA,NA,NA,"Confirmed Fastq","PreFSDB"
"Insertion: 27623",NA,NA,NA,NA,"Confirmed Fastq","PreFSDB"
"Insertion: 27624",NA,NA,NA,NA,"Confirmed Fastq","PreFSDB"
"Insertion: 27625",NA,NA,NA,NA,"Confirmed Fastq","PreFSDB"
"Insertion: 27626",NA,NA,NA,NA,"Confirmed Fastq","PreFSDB"
"Insertion: 27627",NA,NA,NA,NA,"Confirmed Fastq","PreFSDB"
"Insertion: 27628",NA,NA,NA,NA,"Confirmed Fastq","PreFSDB"
"Insertion: 27629",NA,NA,NA,NA,"Confirmed Fastq","PreFSDB"
"Insertion: 28252",NA,NA,NA,NA,"Confirmed Fastq","PreFSDB"
"Insertion: 28253",NA,NA,NA,NA,"Confirmed Fastq","PreFSDB"
"Deletion: 1[28271]",NA,NA,NA,NA,"Confirmed Fastq","PreFSDB"
"Deletion: 1[22084]",0.0832852039069168,0.0639548670343779,966,2,"Unknown","20211008"
"Deletion: 1[25798]",0.307013564886815,0.100271211735132,787,2,"Unknown","20211008"
"Deletion: 1[29680]",0.290629392171586,0.0983215921317169,659,2,"Unknown","20211008"
"Deletion: 1[7058]",0.25,0,936,2,"Unknown","20211008"
"Deletion: 13[510]",0.299465664117008,0.273374638203459,9406,6,"Unknown","20211008"
"Deletion: 2[26159]",0.993417568286777,0.00106312990868614,117575,5,"Confirmed Fastq","20211008"
"Deletion: 2[27570]",0.833333333333333,0.258198889747161,96030,6,"Confirmed Fastq","20211008"
"Deletion: 2[27792]",0.9,0.223606797749979,7867,5,"Confirmed Fastq","20211008"
"Deletion: 20[25431]",0,0,56,18,"Possible Artifact","20211008"
"Deletion: 4[26158]",0.997612261064657,0.00465540062156933,70832,4,"Confirmed Fastq","20211008"
"Deletion: 4[27578]",1,0,61740,2,"Confirmed Fastq","20211008"
"Deletion: 4[27694]",0,NA,1,2,"Possible Artifact","20211008"
"Deletion: 4[28913]",NA,NA,0,2,"Possible Artifact","20211008"
"Deletion: 5[27527]",0.999911421037853,3.70567547768698e-06,34232,2,"Confirmed Fastq","20211008"
"Deletion: 7[27571]",0.333333333333333,0.577350269189626,3631,5,"Unknown","20211008"
"Deletion: 8[27644]",NA,NA,0,2,"Possible Artifact","20211008"
"Insertion: 11096",0.762608069164265,0.335722888185832,1484,2,"Confirmed Fastq","20211008"
"Insertion: 12967",0.649350649350649,0,462,2,"Unknown","20211008"
"Insertion: 1947",0.763783684524629,0.3162714671579,296,2,"Unknown","20211008"
"Insertion: 21102",1,NA,12,1,"Unknown","20211008"
"Insertion: 22219",0.312912346842601,0,2122,2,"Unknown","20211008"
"Insertion: 23826",0.479024943310658,0.284606470885742,1776,2,"Unknown","20211008"
"Insertion: 26494",1,0,91,2,"Unknown","20211008"
"Insertion: 26655",0.773972602739726,0.319651010673371,517,2,"Confirmed Fastq","20211008"
"Insertion: 27792",1,NA,73,1,"Unknown","20211008"
"Insertion: 27907",1,0,79716,3,"Confirmed Fastq","20211008"
"Insertion: 27908",1,0,61007,2,"Confirmed Fastq","20211008"
"Insertion: 27909",1,0,61007,2,"Confirmed Fastq","20211008"
"Insertion: 27910",0.999754343455993,0.000119029447478381,61024,2,"Confirmed Fastq","20211008"
"Insertion: 28215",0.428571428571429,NA,35,1,"Unknown","20211008"
"Insertion: 29052",0.702499349397013,0.106413310860632,2580,3,"Confirmed Fastq","20211008"
"Insertion: 6697",0.769994123817212,0.217754764137899,1504,4,"Confirmed Fastq","20211008"
"Deletion: 1[22084]",0.0832852039069168,0.0639548670343779,966,2,"Unknown","20211015"
"Deletion: 1[25798]",0.307013564886815,0.100271211735132,787,2,"Unknown","20211015"
"Deletion: 1[29680]",0.290629392171586,0.0983215921317169,659,2,"Unknown","20211015"
"Deletion: 1[7058]",0.25,0,936,2,"Unknown","20211015"
"Deletion: 11[507]",0.996019962570181,NA,80150,3,"Confirmed Fastq","20211015"
"Deletion: 13[510]",0.299465664117008,0.273374638203459,9406,6,"Unknown","20211015"
"Deletion: 2[20485]",0.657407407407407,0.222607690373543,61,2,"Unknown","20211015"
"Deletion: 20[25431]",0,0,56,18,"Possible Artifact","20211015"
"Deletion: 4[27694]",0,NA,1,2,"Possible Artifact","20211015"
"Deletion: 4[28913]",NA,NA,0,2,"Possible Artifact","20211015"
"Deletion: 7[27571]",0.333333333333333,0.577350269189626,3631,6,"Unknown","20211015"
"Deletion: 8[27644]",NA,NA,0,3,"Possible Artifact","20211015"
"Insertion: 12967",0.649350649350649,0,462,2,"Unknown","20211015"
"Insertion: 1947",0.763783684524629,0.3162714671579,296,2,"Unknown","20211015"
"Insertion: 21102",1,NA,12,1,"Unknown","20211015"
"Insertion: 22219",0.312912346842601,0,2122,2,"Unknown","20211015"
"Insertion: 23826",0.479024943310658,0.284606470885742,1776,2,"Unknown","20211015"
"Insertion: 26494",1,0,91,2,"Unknown","20211015"
"Insertion: 27692",1,0,1110,2,"Confirmed Fastq","20211015"
"Insertion: 27693",1,0,1110,2,"Confirmed Fastq","20211015"
"Insertion: 27792",1,NA,73,1,"Unknown","20211015"
"Insertion: 28215",0.428571428571429,NA,35,1,"Unknown","20211015"
"Deletion: 1[20699]",0.5848816151318,0.00474281830563116,928,2,"Unknown","20211022"
"Deletion: 1[22084]",0.0832852039069168,0.0639548670343779,966,2,"Unknown","20211022"
"Deletion: 1[25798]",0.307013564886815,0.100271211735132,787,2,"Unknown","20211022"
"Deletion: 1[29680]",0.290629392171586,0.0983215921317169,659,2,"Unknown","20211022"
"Deletion: 1[7058]",0.25,0,936,2,"Unknown","20211022"
"Deletion: 13[510]",0.415694627387857,0.376130425411154,11074,7,"Unknown","20211022"
"Deletion: 2[20485]",0.407407407407407,0.576161080966817,44,2,"Unknown","20211022"
"Deletion: 20[25431]",0,0,56,18,"Possible Artifact","20211022"
"Deletion: 4[27694]",0,NA,1,2,"Possible Artifact","20211022"
"Deletion: 4[28913]",NA,NA,0,3,"Possible Artifact","20211022"
"Deletion: 7[27571]",0.333333333333333,0.577350269189626,3715,6,"Unknown","20211022"
"Deletion: 8[27644]",NA,NA,0,3,"Possible Artifact","20211022"
"Insertion: 10387",0.505813953488372,NA,172,1,"Unknown","20211022"
"Insertion: 12967",0.649350649350649,0,462,2,"Unknown","20211022"
"Insertion: 1947",0.763783684524629,0.3162714671579,296,2,"Unknown","20211022"
"Insertion: 21102",1,NA,12,1,"Unknown","20211022"
"Insertion: 22219",0.312912346842601,0,2122,2,"Unknown","20211022"
"Insertion: 238",1,0,27309,3,"Confirmed Fastq","20211022"
"Insertion: 23826",0.479024943310658,0.284606470885742,1776,2,"Unknown","20211022"
"Insertion: 26494",1,0,91,2,"Unknown","20211022"
"Insertion: 27512",NA,NA,0,3,"Possible Artifact","20211022"
"Insertion: 27792",1,NA,73,1,"Unknown","20211022"
"Insertion: 28215",0.428571428571429,NA,35,1,"Unknown","20211022"
"Deletion: 1[20699]",0.5848816151318,0.00474281830563116,928,2,"Unknown","20211026"
"Deletion: 1[22084]",0.0832852039069168,0.0639548670343779,966,2,"Unknown","20211026"
"Deletion: 1[25798]",0.307013564886815,0.100271211735132,787,2,"Unknown","20211026"
"Deletion: 1[29680]",0.290629392171586,0.0983215921317169,659,2,"Unknown","20211026"
"Deletion: 1[7058]",0.25,0,936,2,"Unknown","20211026"
"Deletion: 13[510]",0.415694627387857,0.376130425411154,11074,7,"Unknown","20211026"
"Deletion: 2[20485]",0.407407407407407,0.576161080966817,44,2,"Unknown","20211026"
"Deletion: 20[25431]",0,0,56,18,"Possible Artifact","20211026"
"Deletion: 4[27694]",0,NA,1,2,"Possible Artifact","20211026"
"Deletion: 4[28913]",NA,NA,0,3,"Possible Artifact","20211026"
"Deletion: 7[27571]",0.333333333333333,0.577350269189626,3715,6,"Unknown","20211026"
"Deletion: 8[27644]",NA,NA,0,3,"Possible Artifact","20211026"
"Insertion: 10387",0.505813953488372,NA,172,1,"Unknown","20211026"
"Insertion: 12967",0.649350649350649,0,462,2,"Unknown","20211026"
"Insertion: 1947",0.763783684524629,0.3162714671579,296,2,"Unknown","20211026"
"Insertion: 21102",1,NA,12,1,"Unknown","20211026"
"Insertion: 22219",0.312912346842601,0,2122,2,"Unknown","20211026"
"Insertion: 23826",0.479024943310658,0.284606470885742,1776,2,"Unknown","20211026"
"Insertion: 26494",1,0,91,2,"Unknown","20211026"
"Insertion: 27512",NA,NA,0,3,"Possible Artifact","20211026"
"Insertion: 27792",1,NA,73,1,"Unknown","20211026"
"Insertion: 28215",0.428571428571429,NA,35,1,"Unknown","20211026"
"Deletion: 1[10886]",0.571428571428571,0,112,2,"Unknown","20211104"
"Deletion: 1[20699]",0.5848816151318,0.00474281830563116,928,2,"Unknown","20211104"
"Deletion: 1[22084]",0.0832852039069168,0.0639548670343779,966,2,"Unknown","20211104"
"Deletion: 1[25798]",0.307013564886815,0.100271211735132,787,2,"Unknown","20211104"
"Deletion: 1[27942]",0.997462394293665,0.0143388038291392,497483,42,"Confirmed Fastq","20211104"
"Deletion: 1[29680]",0.290629392171586,0.0983215921317169,659,2,"Unknown","20211104"
"Deletion: 1[7058]",0.25,0,936,2,"Unknown","20211104"
"Deletion: 13[510]",0.498977124919608,0.377960795974015,108777,9,"Unknown","20211104"
"Deletion: 2[20485]",0.407407407407407,0.576161080966817,44,2,"Unknown","20211104"
"Deletion: 20[25431]",0,0,52,18,"Possible Artifact","20211104"
"Deletion: 4[27694]",0,NA,1,2,"Possible Artifact","20211104"
"Deletion: 4[28913]",NA,NA,0,3,"Possible Artifact","20211104"
"Deletion: 7[27571]",0.333333333333333,0.577350269189626,3635,6,"Unknown","20211104"
"Deletion: 8[27644]",NA,NA,0,3,"Possible Artifact","20211104"
"Insertion: 10387",0.505813953488372,NA,172,1,"Unknown","20211104"
"Insertion: 12967",0.649350649350649,0,462,2,"Unknown","20211104"
"Insertion: 1947",0.763783684524629,0.3162714671579,296,2,"Unknown","20211104"
"Insertion: 21102",1,NA,12,1,"Unknown","20211104"
"Insertion: 22219",0.312912346842601,0,2122,2,"Unknown","20211104"
"Insertion: 23826",0.479024943310658,0.284606470885742,1776,2,"Unknown","20211104"
"Insertion: 26494",1,0,91,2,"Unknown","20211104"
"Insertion: 27512",NA,NA,0,3,"Possible Artifact","20211104"
"Insertion: 27792",1,NA,73,1,"Unknown","20211104"
"Insertion: 27901",0.999965133886102,4.48552396109999e-05,106348,4,"Confirmed Fastq","20211104"
"Insertion: 27902",0.999976877591424,2.67061906250501e-05,106347,4,"Confirmed Fastq","20211104"
"Insertion: 28215",0.428571428571429,NA,35,1,"Unknown","20211104"
"Deletion: 1[10886]",0.571428571428571,0,112,2,"Unknown","20211110"
"Deletion: 1[20699]",0.5848816151318,0.00474281830563116,928,2,"Unknown","20211110"
"Deletion: 1[22084]",0.0832852039069168,0.0639548670343779,966,2,"Unknown","20211110"
"Deletion: 1[25798]",0.307013564886815,0.100271211735132,787,2,"Unknown","20211110"
"Deletion: 1[29680]",0.290629392171586,0.0983215921317169,659,2,"Unknown","20211110"
"Deletion: 1[7058]",0.25,0,936,2,"Unknown","20211110"
"Deletion: 13[510]",0.498977124919608,0.377960795974015,108777,9,"Unknown","20211110"
"Deletion: 2[20485]",0.407407407407407,0.576161080966817,44,2,"Unknown","20211110"
"Deletion: 20[25431]",0,0,52,18,"Possible Artifact","20211110"
"Deletion: 4[27694]",0,NA,1,2,"Possible Artifact","20211110"
"Deletion: 4[28913]",NA,NA,0,4,"Possible Artifact","20211110"
"Deletion: 7[27571]",0.333333333333333,0.577350269189626,3635,6,"Unknown","20211110"
"Deletion: 8[27644]",NA,NA,0,3,"Possible Artifact","20211110"
"Insertion: 10387",0.505813953488372,NA,172,1,"Unknown","20211110"
"Insertion: 12967",0.649350649350649,0,462,2,"Unknown","20211110"
"Insertion: 1947",0.763783684524629,0.3162714671579,296,2,"Unknown","20211110"
"Insertion: 21102",1,NA,12,1,"Unknown","20211110"
"Insertion: 22219",0.312912346842601,0,2122,2,"Unknown","20211110"
"Insertion: 23826",0.479024943310658,0.284606470885742,1776,2,"Unknown","20211110"
"Insertion: 26494",1,0,91,2,"Unknown","20211110"
"Insertion: 27486",0.999128582494191,0.00123237045520504,13901,2,"Confirmed Fastq","20211110"
"Insertion: 27512",NA,NA,0,3,"Possible Artifact","20211110"
"Insertion: 27674",0.995375701285402,0.00310099621878136,24631,2,"Confirmed Fastq","20211110"
"Insertion: 27792",1,NA,73,1,"Unknown","20211110"
"Insertion: 28215",0.428571428571429,NA,35,1,"Unknown","20211110"
"Deletion: 1[10886]",0.571428571428571,0,112,2,"Unknown","20211117"
"Deletion: 1[20699]",0.5848816151318,0.00474281830563116,928,2,"Unknown","20211117"
"Deletion: 1[22084]",0.0832852039069168,0.0639548670343779,966,2,"Unknown","20211117"
"Deletion: 1[25798]",0.307013564886815,0.100271211735132,787,2,"Unknown","20211117"
"Deletion: 1[29680]",0.290629392171586,0.0983215921317169,659,2,"Unknown","20211117"
"Deletion: 1[7058]",0.25,0,936,2,"Unknown","20211117"
"Deletion: 13[510]",0.498977124919608,0.377960795974015,108777,9,"Unknown","20211117"
"Deletion: 2[20485]",0.407407407407407,0.576161080966817,44,2,"Unknown","20211117"
"Deletion: 20[25431]",0,0,52,18,"Possible Artifact","20211117"
"Deletion: 4[27694]",0,NA,1,2,"Possible Artifact","20211117"
"Deletion: 4[28913]",NA,NA,0,4,"Possible Artifact","20211117"
"Deletion: 5[27647]",1,0,20017,2,"Confirmed Fastq","20211117"
"Deletion: 7[27571]",0.333333333333333,0.577350269189626,3635,6,"Unknown","20211117"
"Deletion: 8[27644]",NA,NA,0,3,"Possible Artifact","20211117"
"Insertion: 10387",0.505813953488372,NA,172,1,"Unknown","20211117"
"Insertion: 12967",0.649350649350649,0,462,2,"Unknown","20211117"
"Insertion: 1947",0.763783684524629,0.3162714671579,296,2,"Unknown","20211117"
"Insertion: 21102",1,NA,12,1,"Unknown","20211117"
"Insertion: 22219",0.312912346842601,0,2122,2,"Unknown","20211117"
"Insertion: 23826",0.479024943310658,0.284606470885742,1776,2,"Unknown","20211117"
"Insertion: 26494",1,0,91,2,"Unknown","20211117"
"Insertion: 27512",NA,NA,0,3,"Possible Artifact","20211117"
"Insertion: 27792",1,NA,73,1,"Unknown","20211117"
"Insertion: 28215",0.428571428571429,NA,35,1,"Unknown","20211117"
"Deletion: 1[10886]",0.571428571428571,0,112,2,"Unknown","20211130"
"Deletion: 1[20699]",0.5848816151318,0.00474281830563116,928,2,"Unknown","20211130"
"Deletion: 1[22084]",0.0832852039069168,0.0639548670343779,966,2,"Unknown","20211130"
"Deletion: 1[25798]",0.307013564886815,0.100271211735132,787,2,"Unknown","20211130"
"Deletion: 1[29680]",0.290629392171586,0.0983215921317169,659,2,"Unknown","20211130"
"Deletion: 1[7058]",0.25,0,936,2,"Unknown","20211130"
"Deletion: 10[27619]",0.666666666666667,0.577350269189626,26576,3,"Unknown","20211130"
"Deletion: 10[27785]",0.9999248346362,0.000150330727600734,17342,4,"Confirmed Fastq","20211130"
"Deletion: 13[510]",0.431835194065557,0.31963535444509,474607,18,"Unknown","20211130"
